Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Karl Moore, Ireland, None, 21, AM, Manchester City, UCD, Summer, 2010, Free transfer
Martin Petrov, Bulgaria, None, 31, LW, Manchester City, Bolton, Summer, 2010, Free transfer
Kelvin Etuhu, Nigeria, England, 22, DM, Manchester City, None, Summer, 2010, -
Sylvinho, Brazil, Spain, 36, LB, Manchester City, None, Summer, 2010, -
Asamoah Gyan, Ghana, None, 24, CF, Stade Rennais, Sunderland AFC, Summer, 2010, 16.00 Mill. €
Simon Mignolet, Belgium, None, 22, GK, Sint-Truiden, Sunderland AFC, Summer, 2010, 2.50 Mill. €
Marcos Angeleri, Argentina, Italy, 27, CB, Estudiantes, Sunderland AFC, Summer, 2010, 1.80 Mill. €
Titus Bramble, England, Montserrat, 28, CB, Wigan, Sunderland AFC, Summer, 2010, 1.20 Mill. €
Billy Knott, England, None, 17, CM, Chelsea U18, Sunderland AFC, Summer, 2010, Free transfer
Cristian Riveros, Paraguay, None, 27, DM, CD Cruz Azul, Sunderland AFC, Summer, 2010, Free transfer
Kenwyne Jones, Trinidad and Tobago, None, 25, CF, Sunderland AFC, Stoke City, Summer, 2010, 9.70 Mill. €
Lorik Cana, Albania, France, 26, CB, Sunderland AFC, Galatasaray, Summer, 2010, 4.50 Mill. €
Martyn Waghorn, England, None, 20, CF, Sunderland AFC, Leicester, Summer, 2010, 3.60 Mill. €
Daryl Murphy, Ireland, None, 27, CF, Sunderland AFC, Celtic, Summer, 2010, 1.70 Mill. €
Márton Fülöp †, Hungary, None, 27, GK, Sunderland AFC, Ipswich, Summer, 2010, 425 Th. €
Roy O'Donovan, Ireland, None, 24, CF, Sunderland AFC, Coventry City, Summer, 2010, Free transfer
Teemu Tainio, Finland, None, 30, CM, Sunderland AFC, AFC Ajax, Summer, 2010, Free transfer
Nikola Zigic, Serbia, None, 29, CF, Valencia CF, Birmingham City, Summer, 2010, 7.00 Mill. €
Ben Foster, England, None, 27, GK, Man Utd, Birmingham City, Summer, 2010, 7.00 Mill. €
Jean Beausejour, Chile, Haiti, 26, LB, América, Birmingham City, Summer, 2010, 4.80 Mill. €
Martin Jiranek, Czech Republic, None, 31, CB, Spartak Moscow, Birmingham City, Summer, 2010, 600 Th. €
Enric Vallès, Spain, None, 20, DM, NAC Breda, Birmingham City, Summer, 2010, Free transfer
Grégory Vignal, France, None, 29, LB, Birmingham City, Atromitos Athen, Summer, 2010, Free transfer
Gary McSheffrey, England, None, 27, LW, Birmingham City, Coventry City, Summer, 2010, Free transfer
Lee Carsley, Ireland, None, 36, DM, Birmingham City, Coventry City, Summer, 2010, Free transfer
Artur Krysiak, Poland, None, 20, GK, Birmingham City, Exeter City, Summer, 2010, Free transfer
Franck Queudrue, France, None, 31, LB, Birmingham City, None, Summer, 2010, -
Marcos Alonso, Spain, None, 19, LB, RM Castilla, Bolton Wanderers, Summer, 2010, 2.40 Mill. €
Tom Eaves, England, None, 18, CF, Oldham Athletic, Bolton Wanderers, Summer, 2010, 245 Th. €
Ivan Klasnic, Croatia, None, 30, CF, FC Nantes, Bolton Wanderers, Summer, 2010, Free transfer
Robbie Blake, England, None, 34, SS, Burnley, Bolton Wanderers, Summer, 2010, Free transfer
Martin Petrov, Bulgaria, None, 31, LW, Man City, Bolton Wanderers, Summer, 2010, Free transfer
Chris Basham, England, None, 21, DM, Bolton Wanderers, Blackpool, Summer, 2010, 1.40 Mill. €
Ricardo Vaz Tê, Portugal, Guinea-Bissau, 23, RW, Bolton Wanderers, Panionios, Summer, 2010, Free transfer
Nicky Hunt, England, None, 26, RB, Bolton Wanderers, Bristol City, Summer, 2010, Free transfer
Danny Shittu, Nigeria, None, 30, CB, Bolton Wanderers, Millwall, Summer, 2010, Free transfer
Andrew O'Brien, Ireland, England, 31, CB, Bolton Wanderers, Leeds, Summer, 2010, ?
Chris Stokes, England, None, 19, LB, Bolton Wanderers, None, Summer, 2010, -
Gavin McCann, England, None, 32, CM, Bolton Wanderers, None, Summer, 2010, -
D. J. Campbell, England, None, 28, CF, Leicester, Blackpool FC, Summer, 2010, 1.50 Mill. €
Elliot Grandin, France, Congo DR, 22, RW, CSKA Sofia, Blackpool FC, Summer, 2010, 1.50 Mill. €
Chris Basham, England, None, 21, DM, Bolton, Blackpool FC, Summer, 2010, 1.40 Mill. €
Craig Cathcart, Northern Ireland, None, 21, CB, Man Utd U23, Blackpool FC, Summer, 2010, 625 Th. €
Matt Phillips, Scotland, England, 19, RW, Wycombe, Blackpool FC, Summer, 2010, 400 Th. €
Marlon Harewood, England, Barbados, 30, CF, Aston Villa, Blackpool FC, Summer, 2010, Free transfer
Dekel Keinan, Israel, None, 25, CB, Maccabi Haifa, Blackpool FC, Summer, 2010, Free transfer
Malaury Martin, France, None, 21, CM, Monaco, Blackpool FC, Summer, 2010, Free transfer
David Carney, Australia, None, 26, LW, FC Twente, Blackpool FC, Summer, 2010, Free transfer
Ludovic Sylvestre, France, Guadeloupe, 26, CM, Mladá Boleslav, Blackpool FC, Summer, 2010, ?
Richard Kingson, Ghana, Turkey, 32, GK, Wigan, Blackpool FC, Summer, 2010, -
Ben Burgess, Ireland, None, 28, CF, Blackpool FC, Notts County, Summer, 2010, 700 Th. €
Daniel Nardiello, Wales, England, 27, CF, Blackpool FC, Exeter City, Summer, 2010, Free transfer
Hameur Bouazza, Algeria, France, 25, RW, Blackpool FC, AC Arles, Summer, 2010, Free transfer
Al Bangura, Sierra Leone, None, 22, CM, Blackpool FC, Mersin IY, Summer, 2010, Free transfer
Stephen McPhee, Scotland, None, 29, Striker, Blackpool FC, None, Summer, 2010, -
Danny Mitchley, England, None, 20, CF, Blackpool FC, None, Summer, 2010, -
Joe Martin, England, None, 20, LB, Blackpool FC, None, Summer, 2010, -
Azbe Jug, Slovenia, None, 18, GK, NK Interblock, FC Girondins Bordeaux, Winter, 2010, ?
Benjamin Moukandjo, Cameroon, France, 22, CF, Nîmes Olympique, AS Monaco, Winter, 2010, 500 Th. €
Mahamadou Diarra, Mali, None, 29, DM, Real Madrid, AS Monaco, Winter, 2010, Free transfer
Pascal Feindouno, Guinea, France, 29, RW, None, AS Monaco, Winter, 2010, -
Alejandro Alonso, Argentina, Spain, 28, RW, AS Monaco, Saint-Étienne, Winter, 2010, 200 Th. €
Serge Gakpé, Togo, France, 23, RW, AS Monaco, FC Nantes, Winter, 2010, Free transfer
Rod Fanni, France, Benin, 29, RB, Stade Rennais, Olympique Marseille, Winter, 2010, 4.00 Mill. €
Jules Goda, Cameroon, None, 21, GK, None, Olympique Marseille, Winter, 2010, -
Hatem Ben Arfa, France, Tunisia, 23, AM, Olympique Marseille, Newcastle, Winter, 2010, 6.00 Mill. €
Rudy Riou, France, None, 31, GK, Olympique Marseille, RSC Charleroi, Winter, 2010, Free transfer
Razak Boukari, Togo, France, 23, RW, Lens, Stade Rennais FC, Winter, 2010, 5.00 Mill. €
John Verhoek, Netherlands, None, 21, CF, FC Den Bosch, Stade Rennais FC, Winter, 2010, 500 Th. €
Rod Fanni, France, Benin, 29, RB, Stade Rennais FC, Marseille, Winter, 2010, 4.00 Mill. €
Simon Pontdemé, France, None, 22, GK, Stade Brest 29, AJ Auxerre, Winter, 2010, Free transfer
Jo-Gook Jung, Korea  South, None, 26, CF, FC Seoul, AJ Auxerre, Winter, 2010, Free transfer
Jérémy Huyghebaert, Belgium, None, 21, LB, AJ Auxerre, KV Mechelen, Winter, 2010, ?
Nemanja Pejcinovic, Serbia, None, 23, CB, Rad, OGC Nice, Winter, 2010, 1.00 Mill. €
Raúl Fernández, Peru, None, 25, GK, Universitario, OGC Nice, Winter, 2010, Free transfer
Stéphane Sessègnon, Benin, None, 26, AM, Paris Saint-Germain, Sunderland, Winter, 2010, 7.00 Mill. €
Mateja Kezman, Serbia, None, 31, CF, Paris Saint-Germain, South China, Winter, 2010, Free transfer
Jérôme Rothen, France, None, 32, LM, Paris Saint-Germain, None, Winter, 2010, -
