Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Marcin Wasilewski, Poland, None, 37, CB, Leicester City, None, Summer, 2017, -
Michael Cain, England, None, 23, CM, Leicester City, None, Summer, 2017, -
Kevin Wimmer, Austria, None, 24, CB, Spurs, Stoke City, Summer, 2017, 19.40 Mill. €
Bruno Martins Indi, Netherlands, Portugal, 25, CB, FC Porto, Stoke City, Summer, 2017, 7.70 Mill. €
Darren Fletcher, Scotland, None, 33, CM, West Brom, Stoke City, Summer, 2017, Free transfer
Eric Maxim Choupo-Moting, Cameroon, Germany, 28, LW, FC Schalke 04, Stoke City, Summer, 2017, Free transfer
Josh Tymon, England, None, 18, LB, Hull City, Stoke City, Summer, 2017, Free transfer
Marko Arnautovic, Austria, Serbia, 28, LW, Stoke City, West Ham, Summer, 2017, 22.30 Mill. €
Joselu, Spain, None, 27, CF, Stoke City, Newcastle, Summer, 2017, 5.50 Mill. €
Philipp Wollscheid, Germany, None, 28, CB, Stoke City, FC Metz, Summer, 2017, 2.50 Mill. €
Jonathan Walters, Ireland, England, 33, RW, Stoke City, Burnley, Summer, 2017, 2.30 Mill. €
Glenn Whelan, Ireland, None, 33, DM, Stoke City, Aston Villa, Summer, 2017, 1.70 Mill. €
Phil Bardsley, Scotland, England, 32, RB, Stoke City, Burnley, Summer, 2017, 840 Th. €
George Waring, England, None, 22, CF, Stoke City, Tranmere Rovers, Summer, 2017, Free transfer
Daniel Bachmann, Austria, None, 22, GK, Stoke City, Watford, Summer, 2017, Free transfer
Shay Given, Ireland, None, 41, GK, Stoke City, None, Summer, 2017, -
Mamadou Sakho, France, Senegal, 27, CB, Liverpool, Crystal Palace, Summer, 2017, 28.20 Mill. €
Jairo Riedewald, Netherlands, Suriname, 20, CB, AFC Ajax, Crystal Palace, Summer, 2017, 9.00 Mill. €
Dion Henry, England, None, 19, GK, Peterborough, Crystal Palace, Summer, 2017, Free transfer
Steve Mandanda, France, Congo DR, 32, GK, Crystal Palace, Marseille, Summer, 2017, 3.00 Mill. €
Kwesi Appiah, Ghana, England, 26, CF, Crystal Palace, AFC Wimbledon, Summer, 2017, Free transfer
Zeki Fryers, England, None, 24, LB, Crystal Palace, Barnsley FC, Summer, 2017, Free transfer
Hiram Boateng, England, Ghana, 21, DM, Crystal Palace, Exeter City, Summer, 2017, Free transfer
Fraizer Campbell, England, Jamaica, 29, CF, Crystal Palace, Hull City, Summer, 2017, Free transfer
Luke Croll, England, None, 22, CB, Crystal Palace, Exeter City, Summer, 2017, Free transfer
Jonathan Benteke, Belgium, Congo DR, 22, CF, Crystal Palace, None, Summer, 2017, -
Kleton Perntreou, Albania, Greece, 22, GK, Crystal Palace, None, Summer, 2017, -
Mathieu Flamini, France, None, 33, DM, Crystal Palace, None, Summer, 2017, -
Joe Ledley, Wales, None, 30, CM, Crystal Palace, None, Summer, 2017, -
Sam Clucas, England, None, 26, LM, Hull City, Swansea City, Summer, 2017, 16.30 Mill. €
Wilfried Bony, Cote d'Ivoire, None, 28, CF, Man City, Swansea City, Summer, 2017, 13.00 Mill. €
Roque Mesa, Spain, None, 28, CM, UD Las Palmas, Swansea City, Summer, 2017, 12.50 Mill. €
Erwin Mulder, Netherlands, None, 28, GK, Heerenveen, Swansea City, Summer, 2017, Free transfer
Gylfi Sigurdsson, Iceland, None, 27, AM, Swansea City, Everton, Summer, 2017, 49.40 Mill. €
Fernando Llorente, Spain, None, 32, CF, Swansea City, Spurs, Summer, 2017, 15.10 Mill. €
Jack Cork, England, None, 28, DM, Swansea City, Burnley, Summer, 2017, 9.10 Mill. €
Stephen Kingsley, Scotland, None, 23, LB, Swansea City, Hull City, Summer, 2017, 3.30 Mill. €
Bafétimbi Gomis, France, Senegal, 31, CF, Swansea City, Galatasaray, Summer, 2017, 2.50 Mill. €
Modou Barrow, The Gambia, Sweden, 24, RW, Swansea City, Reading, Summer, 2017, 1.70 Mill. €
Mark Birighitti, Australia, Italy, 26, GK, Swansea City, NAC Breda, Summer, 2017, Free transfer
Franck Tabanou, France, None, 28, LB, Swansea City, Guingamp, Summer, 2017, Free transfer
Marvin Emnes, Netherlands, Suriname, 29, CF, Swansea City, Akhisarspor, Summer, 2017, Free transfer
Liam Shephard, Wales, None, 22, RB, Swansea City, Peterborough, Summer, 2017, Free transfer
Gerhard Tremmel, Germany, None, 38, GK, Swansea City, None, Summer, 2017, -
Chris Wood, New Zealand, None, 25, CF, Leeds, Burnley FC, Summer, 2017, 16.40 Mill. €
Jack Cork, England, None, 28, DM, Swansea, Burnley FC, Summer, 2017, 9.10 Mill. €
Nahki Wells, Bermuda, None, 27, CF, Huddersfield, Burnley FC, Summer, 2017, 5.40 Mill. €
Jonathan Walters, Ireland, England, 33, RW, Stoke City, Burnley FC, Summer, 2017, 2.30 Mill. €
Phil Bardsley, Scotland, England, 32, RB, Stoke City, Burnley FC, Summer, 2017, 840 Th. €
Charlie Taylor, England, None, 23, LB, Leeds, Burnley FC, Summer, 2017, Free transfer
Adam Legzdins, England, Latvia, 30, GK, Birmingham, Burnley FC, Summer, 2017, ?
Anders Lindegaard, Denmark, None, 33, GK, None, Burnley FC, Summer, 2017, -
Michael Keane, England, Ireland, 24, CB, Burnley FC, Everton, Summer, 2017, 28.50 Mill. €
Andre Gray, England, Jamaica, 26, CF, Burnley FC, Watford, Summer, 2017, 20.40 Mill. €
Tendayi Darikwa, England, Zimbabwe, 25, RB, Burnley FC, Nottm Forest, Summer, 2017, 1.10 Mill. €
George Boyd, Scotland, England, 31, RM, Burnley FC, Sheff Wed, Summer, 2017, Free transfer
Michael Kightly, England, None, 31, LW, Burnley FC, Southend United, Summer, 2017, Free transfer
George Green, England, None, 21, AM, Burnley FC, Viking, Summer, 2017, Free transfer
Rouwen Hennings, Germany, None, 29, CF, Burnley FC, F. Düsseldorf, Summer, 2017, Free transfer
Joey Barton, England, None, 34, CM, Burnley FC, None, Summer, 2017, -
Paul Robinson, England, None, 37, GK, Burnley FC, None, Summer, 2017, -
Andre Gray, England, Jamaica, 26, CF, Burnley, Watford FC, Summer, 2017, 20.40 Mill. €
Richarlison, Brazil, None, 20, LW, Fluminense, Watford FC, Summer, 2017, 12.40 Mill. €
Tom Cleverley, England, None, 27, CM, Everton, Watford FC, Summer, 2017, 9.30 Mill. €
Will Hughes, England, None, 22, CM, Derby, Watford FC, Summer, 2017, 9.10 Mill. €
Nathaniel Chalobah, England, Sierra Leone, 22, DM, Chelsea, Watford FC, Summer, 2017, 6.30 Mill. €
Marvin Zeegelaar, Netherlands, Suriname, 27, LB, Sporting CP, Watford FC, Summer, 2017, 3.00 Mill. €
Kiko Femenía, Spain, None, 26, RB, Alavés, Watford FC, Summer, 2017, Free transfer
Daniel Bachmann, Austria, None, 22, GK, Stoke City, Watford FC, Summer, 2017, Free transfer
Camilo Zúñiga, Colombia, None, 31, LM, SSC Napoli, Watford FC, Summer, 2017, ?
Dimitri Foulquier, France, Guadeloupe, 24, RB, Granada CF, Watford FC, Summer, 2017, ?
Sven Kums, Belgium, None, 29, DM, Watford FC, RSC Anderlecht, Summer, 2017, 6.50 Mill. €
Steven Berghuis, Netherlands, None, 25, RW, Watford FC, Feyenoord, Summer, 2017, 6.50 Mill. €
Uche Agbo, Nigeria, None, 21, DM, Watford FC, Standard Liège, Summer, 2017, 2.50 Mill. €
Mathias Ranégie, Sweden, None, 33, CF, Watford FC, Häcken, Summer, 2017, Free transfer
Rene Gilmartin, Ireland, None, 30, GK, Watford FC, Colchester Utd., Summer, 2017, Free transfer
Giedrius Arlauskis, Lithuania, None, 29, GK, Watford FC, CFR Cluj, Summer, 2017, Free transfer
Mario Suárez, Spain, None, 30, DM, Watford FC, GZ H. Zhicheng, Summer, 2017, ?
Juan Carlos Paredes, Ecuador, None, 30, RB, Watford FC, CS Emelec, Summer, 2017, ?
Valon Behrami, Switzerland, Kosovo, 32, DM, Watford FC, Udinese Calcio, Summer, 2017, ?
Jacob Murphy, England, None, 22, RW, Norwich, Newcastle United, Summer, 2017, 11.30 Mill. €
Florian Lejeune, France, None, 26, CB, SD Eibar, Newcastle United, Summer, 2017, 10.00 Mill. €
Christian Atsu, Ghana, None, 25, LW, Chelsea, Newcastle United, Summer, 2017, 7.50 Mill. €
Joselu, Spain, None, 27, CF, Stoke City, Newcastle United, Summer, 2017, 5.50 Mill. €
Javier Manquillo, Spain, None, 23, RB, Atlético Madrid, Newcastle United, Summer, 2017, 5.00 Mill. €
Florian Thauvin, France, None, 24, RW, Newcastle United, Marseille, Summer, 2017, 11.00 Mill. €
Grant Hanley, Scotland, None, 25, CB, Newcastle United, Norwich, Summer, 2017, 3.80 Mill. €
Siem de Jong, Netherlands, None, 28, AM, Newcastle United, AFC Ajax, Summer, 2017, 2.30 Mill. €
Daryl Murphy, Ireland, None, 34, CF, Newcastle United, Nottm Forest, Summer, 2017, 2.30 Mill. €
Sammy Ameobi, England, Nigeria, 25, CF, Newcastle United, Bolton, Summer, 2017, Free transfer
Tim Krul, Netherlands, None, 29, GK, Newcastle United, Brighton, Summer, 2017, Free transfer
Vurnon Anita, Netherlands, Curacao, 28, DM, Newcastle United, Leeds, Summer, 2017, Free transfer
Haris Vuckic, Slovenia, None, 24, AM, Newcastle United, FC Twente, Summer, 2017, Free transfer
Yoan Gouffran, France, Guadeloupe, 31, LW, Newcastle United, Göztepe, Summer, 2017, Free transfer
Lubomir Satka, Slovakia, None, 21, CB, Newcastle United, Dunajska Streda, Summer, 2017, ?
Emmanuel Rivière, France, Martinique, 27, CF, Newcastle United, FC Metz, Summer, 2017, ?
Kevin Mbabu, Switzerland, Congo DR, 22, RB, Newcastle United, BSC Young Boys, Summer, 2017, ?
José Izquierdo, Colombia, None, 25, LW, Club Brugge, Brighton & Hove Albion, Summer, 2017, 15.00 Mill. €
Davy Pröpper, Netherlands, None, 25, CM, PSV Eindhoven, Brighton & Hove Albion, Summer, 2017, 13.00 Mill. €
Mathew Ryan, Australia, England, 25, GK, Valencia CF, Brighton & Hove Albion, Summer, 2017, 6.00 Mill. €
Markus Suttner, Austria, None, 30, LB, FC Ingolstadt, Brighton & Hove Albion, Summer, 2017, 4.50 Mill. €
Pascal Groß, Germany, None, 26, CM, FC Ingolstadt, Brighton & Hove Albion, Summer, 2017, 3.00 Mill. €
Ezequiel Schelotto, Italy, Argentina, 28, RB, Sporting CP, Brighton & Hove Albion, Summer, 2017, 3.00 Mill. €
Ales Mateju, Czech Republic, None, 21, RB, Viktoria Plzen, Brighton & Hove Albion, Summer, 2017, 2.50 Mill. €
Soufyan Ahannach, Netherlands, Morocco, 21, LW, Almere City, Brighton & Hove Albion, Summer, 2017, 600 Th. €
Tim Krul, Netherlands, None, 29, GK, Newcastle, Brighton & Hove Albion, Summer, 2017, Free transfer
Mathias Normann, Norway, None, 21, CM, FK Bodø/Glimt, Brighton & Hove Albion, Summer, 2017, ?
Chris O'Grady, England, None, 31, CF, Brighton & Hove Albion, Chesterfield FC, Summer, 2017, Free transfer
David Stockdale, England, None, 31, GK, Brighton & Hove Albion, Birmingham, Summer, 2017, Free transfer
Vegard Forren, Norway, None, 29, CB, Brighton & Hove Albion, Molde FK, Summer, 2017, Free transfer
Elvis Manu, Netherlands, Ghana, 23, LW, Brighton & Hove Albion, Genclerbirligi, Summer, 2017, Free transfer
Rob Hunt, England, None, 22, RB, Brighton & Hove Albion, Oldham Athletic, Summer, 2017, ?
Casper Ankergren, Denmark, None, 37, GK, Brighton & Hove Albion, None, Summer, 2017, -
Steve Mounié, Benin, France, 22, CF, Montpellier, Huddersfield Town, Summer, 2017, 13.00 Mill. €
Tom Ince, England, None, 25, LW, Derby, Huddersfield Town, Summer, 2017, 9.10 Mill. €
Aaron Mooy, Australia, Netherlands, 26, CM, Man City, Huddersfield Town, Summer, 2017, 9.10 Mill. €
Scott Malone, England, None, 26, LB, Fulham, Huddersfield Town, Summer, 2017, 3.90 Mill. €
Laurent Depoitre, Belgium, None, 28, CF, FC Porto, Huddersfield Town, Summer, 2017, 3.80 Mill. €
Zanka, Denmark, None, 27, CB, FC Copenhagen, Huddersfield Town, Summer, 2017, 2.70 Mill. €
Abdelhamid Sabiri, Morocco, Germany, 20, AM, 1.FC Nuremberg, Huddersfield Town, Summer, 2017, 1.50 Mill. €
Elias Kachunga, Congo DR, Germany, 25, CF, FC Ingolstadt, Huddersfield Town, Summer, 2017, 1.30 Mill. €
Danny Williams, United States, Germany, 28, DM, Reading, Huddersfield Town, Summer, 2017, Free transfer
Robert Green, England, None, 37, GK, Leeds, Huddersfield Town, Summer, 2017, Free transfer
Nahki Wells, Bermuda, None, 27, CF, Huddersfield Town, Burnley, Summer, 2017, 5.40 Mill. €
Kyle Dempsey, England, None, 21, CM, Huddersfield Town, Fleetwood Town, Summer, 2017, 455 Th. €
Joe Murphy, Ireland, None, 35, GK, Huddersfield Town, Bury, Summer, 2017, Free transfer
Harry Bunn, England, None, 24, LW, Huddersfield Town, Bury, Summer, 2017, ?
Jason Davidson, Australia, Greece, 26, LB, Huddersfield Town, HNK Rijeka, Summer, 2017, ?
Mark Hudson, England, None, 35, CB, Huddersfield Town, None, Summer, 2017, -
Flo Bojaj, Albania, None, 21, CF, Huddersfield Town, None, Summer, 2017, -
Moussa Konaté, Senegal, None, 24, CF, FC Sion, SC Amiens, Summer, 2017, 3.50 Mill. €
Bongani Zungu, South Africa, None, 24, CM, Vit. Guimarães, SC Amiens, Summer, 2017, 2.00 Mill. €
Mathieu Bodmer, France, None, 34, CB, Guingamp, SC Amiens, Summer, 2017, Free transfer
Prince Gouano, France, Cote d'Ivoire, 23, CB, Atalanta, SC Amiens, Summer, 2017, Free transfer
Jean-Christophe Bouet, France, None, 33, GK, Dunkerque, SC Amiens, Summer, 2017, Free transfer
Mahdi Talal, France, None, 19, CM, SCO Angers B, SC Amiens, Summer, 2017, Free transfer
Brighton Labeau, France, None, 21, CF, Monaco B, SC Amiens, Summer, 2017, Free transfer
Issa Cissokho, Senegal, France, 32, RB, SCO Angers, SC Amiens, Summer, 2017, Free transfer
Serge Gakpé, Togo, France, 30, RW, Genoa, SC Amiens, Summer, 2017, ?
Sekou Baradji, France, Mali, 33, DM, None, SC Amiens, Summer, 2017, -
Aboubakar Kamara, France, Mauritania, 22, CF, SC Amiens, Fulham, Summer, 2017, 6.00 Mill. €
Richard Soumah, Guinea, France, 30, LM, SC Amiens, M. Petah Tikva, Summer, 2017, Free transfer
Alioune Ba, France, None, 27, CB, SC Amiens, Stade Laval, Summer, 2017, Free transfer
Matthieu Fontaine, France, None, 30, CB, SC Amiens, Red Star FC, Summer, 2017, Free transfer
Joachim Eickmayer, France, None, 24, CM, SC Amiens, Les Herbiers VF, Summer, 2017, Free transfer
Jean Calvé, France, None, 33, RB, SC Amiens, None, Summer, 2017, -
Enzo Crivelli, France, None, 22, CF, G. Bordeaux, SCO Angers, Summer, 2017, 4.00 Mill. €
Thomas Touré, Cote d'Ivoire, France, 23, LW, G. Bordeaux, SCO Angers, Summer, 2017, 3.00 Mill. €
Lassana Coulibaly, Mali, None, 21, CM, SC Bastia, SCO Angers, Summer, 2017, 2.00 Mill. €
Baptiste Guillaume, Belgium, None, 22, CF, LOSC Lille, SCO Angers, Summer, 2017, 2.00 Mill. €
Angelo Fulgini, France, Neukaledonien, 20, CM, Valenciennes FC, SCO Angers, Summer, 2017, 1.40 Mill. €
Loïc Puyo, France, None, 28, LW, AS Nancy, SCO Angers, Summer, 2017, Free transfer
Saliou Ciss, Senegal, None, 27, LB, Valenciennes FC, SCO Angers, Summer, 2017, Free transfer
Wilfried Kanga, Cote d'Ivoire, France, 19, RW, Paris SG U19, SCO Angers, Summer, 2017, Free transfer
Youcef Belaïli, Algeria, None, 25, LW, None, SCO Angers, Summer, 2017, -
Nicolas Pepe, Cote d'Ivoire, France, 22, RW, SCO Angers, LOSC Lille, Summer, 2017, 10.00 Mill. €
Famara Diédhiou, Senegal, None, 24, CF, SCO Angers, Bristol City, Summer, 2017, 6.00 Mill. €
Grégory Bourillon, France, None, 33, CB, SCO Angers, LB Châteauroux, Summer, 2017, Free transfer
Issa Cissokho, Senegal, France, 32, RB, SCO Angers, SC Amiens, Summer, 2017, Free transfer
Cheikh N'Doye, Senegal, None, 31, CM, SCO Angers, Birmingham, Summer, 2017, Free transfer
Denis Petric, Serbia, Slovenia, 29, GK, SCO Angers, Guingamp, Summer, 2017, ?
Pablo Martinez, France, Spain, 28, LB, SCO Angers, R. Strasbourg, Summer, 2017, ?
Dickson Nwakaeme, Nigeria, None, 31, CF, SCO Angers, None, Summer, 2017, -
Goran Karanovic, Switzerland, Serbia, 29, CF, SCO Angers, None, Summer, 2017, -
Jamel Saihi, Tunisia, France, 30, DM, SCO Angers, None, Summer, 2017, -
Nicolas de Préville, France, None, 26, CF, LOSC Lille, FC Girondins Bordeaux, Summer, 2017, 8.00 Mill. €
Jonathan Cafú, Brazil, None, 26, RW, Ludogorets, FC Girondins Bordeaux, Summer, 2017, 7.50 Mill. €
Otávio, Brazil, None, 23, DM, Atlético-PR, FC Girondins Bordeaux, Summer, 2017, 5.00 Mill. €
Youssouf Sabaly, France, France, 24, RB, Paris SG, FC Girondins Bordeaux, Summer, 2017, 4.00 Mill. €
Lukas Lerager, Denmark, None, 23, CM, Zulte Waregem, FC Girondins Bordeaux, Summer, 2017, 3.50 Mill. €
Vukasin Jovanovic, Serbia, None, 21, CB, Zenit S-Pb, FC Girondins Bordeaux, Summer, 2017, 3.00 Mill. €
Alexandre Mendy, France, Senegal, 23, CF, Guingamp, FC Girondins Bordeaux, Summer, 2017, 600 Th. €
Benoît Costil, France, None, 29, GK, Stade Rennais, FC Girondins Bordeaux, Summer, 2017, Free transfer
Adam Ounas, Algeria, France, 20, LW, FC Girondins Bordeaux, SSC Napoli, Summer, 2017, 10.00 Mill. €
Enzo Crivelli, France, None, 22, CF, FC Girondins Bordeaux, SCO Angers, Summer, 2017, 4.00 Mill. €
Thomas Touré, Cote d'Ivoire, France, 23, LW, FC Girondins Bordeaux, SCO Angers, Summer, 2017, 3.00 Mill. €
Nicolas Pallois, France, None, 29, CB, FC Girondins Bordeaux, FC Nantes, Summer, 2017, 2.00 Mill. €
Jérémy Ménez, France, None, 30, CF, FC Girondins Bordeaux, Antalyaspor, Summer, 2017, 1.50 Mill. €
Frédéric Guilbert, France, None, 22, RB, FC Girondins Bordeaux, SM Caen, Summer, 2017, 1.50 Mill. €
Mauro Arambarri, Uruguay, None, 21, CM, FC Girondins Bordeaux, Boston River, Summer, 2017, 1.00 Mill. €
Cédric Yambéré, Central African Republic, France, 26, CB, FC Girondins Bordeaux, Dijon, Summer, 2017, 500 Th. €
Jorris Romil, France, None, 22, CF, FC Girondins Bordeaux, Valenciennes FC, Summer, 2017, Free transfer
Cédric Carrasso, France, None, 35, GK, FC Girondins Bordeaux, Galatasaray, Summer, 2017, Free transfer
Isaac Thelin, Sweden, Congo DR, 25, CF, FC Girondins Bordeaux, RSC Anderlecht, Summer, 2017, ?
Abdou Traoré, Mali, France, 29, CM, FC Girondins Bordeaux, None, Summer, 2017, -
Younés Kaabouni, France, Morocco, 22, AM, FC Girondins Bordeaux, None, Summer, 2017, -
Nicolas Maurice-Belay, France, Martinique, 32, LW, FC Girondins Bordeaux, None, Summer, 2017, -
Alexander Djiku, France, None, 22, CB, SC Bastia, SM Caen, Summer, 2017, 2.00 Mill. €
Frédéric Guilbert, France, None, 22, RB, G. Bordeaux, SM Caen, Summer, 2017, 1.50 Mill. €
Stef Peeters, Belgium, None, 25, CM, Sint-Truiden, SM Caen, Summer, 2017, 1.35 Mill. €
Jan Repas, Slovenia, None, 20, LW, NK Domzale, SM Caen, Summer, 2017, 1.00 Mill. €
Baissama Sankoh, Guinea, France, 25, CB, Guingamp, SM Caen, Summer, 2017, 500 Th. €
Brice Samba, France, Congo, 23, GK, Marseille, SM Caen, Summer, 2017, Free transfer
Adama Mbengue, Senegal, None, 23, LB, Diambars, SM Caen, Summer, 2017, Free transfer
Jean-Victor Makengo, France, Congo DR, 19, CM, SM Caen, OGC Nice, Summer, 2017, 6.00 Mill. €
Jordan Adéoti, Benin, France, 28, DM, SM Caen, AJ Auxerre, Summer, 2017, Free transfer
Louis Deschateaux, France, None, 20, GK, SM Caen, US Alençon, Summer, 2017, Free transfer
Syam Ben Youssef, Tunisia, France, 28, CB, SM Caen, Kasimpasa, Summer, 2017, Free transfer
Alaeddine Yahia, Tunisia, France, 35, CB, SM Caen, AS Nancy, Summer, 2017, Free transfer
Nicolas Seube, France, None, 37, DM, SM Caen, None, Summer, 2017, -
Steed Malbranque, France, Belgium, 37, CM, SM Caen, None, Summer, 2017, -
Wesley Lautoa, Neukaledonien, None, 29, CB, FC Lorient, FCO Dijon, Summer, 2017, 1.50 Mill. €
Wesley Saïd, France, Mauritius, 22, LW, Stade Rennais, FCO Dijon, Summer, 2017, 1.50 Mill. €
Cédric Yambéré, Central African Republic, France, 26, CB, G. Bordeaux, FCO Dijon, Summer, 2017, 500 Th. €
Eden Massouema, France, None, 20, DM, Paris FC, FCO Dijon, Summer, 2017, Free transfer
Benjamin Jeannot, France, None, 25, CF, FC Lorient, FCO Dijon, Summer, 2017, ?
Loïs Diony, France, Martinique, 24, CF, FCO Dijon, Saint-Étienne, Summer, 2017, 10.00 Mill. €
Pierre Lees Melou, France, None, 24, RW, FCO Dijon, OGC Nice, Summer, 2017, 4.00 Mill. €
Mamadou Thiam, Senegal, France, 22, CF, FCO Dijon, Barnsley FC, Summer, 2017, 1.00 Mill. €
Jordan Lotiès, France, Martinique, 32, CB, FCO Dijon, KAS Eupen, Summer, 2017, Free transfer
Jérémie Bela, Congo DR, France, 24, RW, FCO Dijon, Albacete, Summer, 2017, Free transfer
Yohann Rivière, France, None, 33, CF, FCO Dijon, US Créteil, Summer, 2017, Free transfer
Anthony Belmonte, France, None, 21, CM, FCO Dijon, Levski Sofia, Summer, 2017, ?
Yunis Abdelhamid, Morocco, France, 29, CB, FCO Dijon, Reims, Summer, 2017, ?
Lebogang Phiri, South Africa, None, 22, CM, Bröndby IF, EA Guingamp, Summer, 2017, Free transfer
Abdoul Camara, Guinea, France, 27, LW, Derby, EA Guingamp, Summer, 2017, Free transfer
Franck Tabanou, France, None, 28, LB, Swansea, EA Guingamp, Summer, 2017, Free transfer
Marcus Thuram, France, Guadeloupe, 19, CF, FC Sochaux, EA Guingamp, Summer, 2017, ?
Felix Eboa Eboa, Cameroon, None, 20, CB, Paris SG B, EA Guingamp, Summer, 2017, ?
Marc-Aurèle Caillard, France, None, 23, GK, Clermont Foot, EA Guingamp, Summer, 2017, ?
Denis Petric, Serbia, Slovenia, 29, GK, SCO Angers, EA Guingamp, Summer, 2017, ?
Pedro Rebocho, Portugal, None, 22, LB, Benfica, EA Guingamp, Summer, 2017, ?
Cheik Traoré, France, Mali, 22, RB, LB Châteauroux, EA Guingamp, Summer, 2017, ?
Alexandre Mendy, France, Senegal, 23, CF, EA Guingamp, G. Bordeaux, Summer, 2017, 600 Th. €
Baissama Sankoh, Guinea, France, 25, CB, EA Guingamp, SM Caen, Summer, 2017, 500 Th. €
Nill De Pauw, Belgium, Congo DR, 27, RW, EA Guingamp, Zulte Waregem, Summer, 2017, 350 Th. €
Dorian Lévêque, France, None, 27, LB, EA Guingamp, PAOK Saloniki, Summer, 2017, Free transfer
Mathieu Bodmer, France, None, 34, CB, EA Guingamp, SC Amiens, Summer, 2017, Free transfer
Cheik Traoré, France, Mali, 22, RB, EA Guingamp, LB Châteauroux, Summer, 2017, Free transfer
Johnny Placide, Haiti, France, 29, GK, EA Guingamp, Oldham Athletic, Summer, 2017, Free transfer
Franck Héry, France, None, 24, CB, EA Guingamp, Les Herbiers VF, Summer, 2017, Free transfer
Romain Salin, France, None, 33, GK, EA Guingamp, Sporting CP, Summer, 2017, Free transfer
Sullivan Martinet, France, None, 21, CF, EA Guingamp, None, Summer, 2017, -
Reynald Lemaître, France, None, 34, LB, EA Guingamp, None, Summer, 2017, -
Thiago Maia, Brazil, None, 20, CM, Santos FC, LOSC Lille, Summer, 2017, 14.00 Mill. €
Luiz Araújo, Brazil, None, 21, LW, São Paulo, LOSC Lille, Summer, 2017, 10.50 Mill. €
Nicolas Pepe, Cote d'Ivoire, France, 22, RW, SCO Angers, LOSC Lille, Summer, 2017, 10.00 Mill. €
Thiago Mendes, Brazil, None, 25, DM, São Paulo, LOSC Lille, Summer, 2017, 9.00 Mill. €
Kévin Malcuit, France, Morocco, 25, RB, Saint-Étienne, LOSC Lille, Summer, 2017, 9.00 Mill. €
Edgar Ié, Portugal, Guinea-Bissau, 23, CB, Belenenses, LOSC Lille, Summer, 2017, 5.50 Mill. €
Xeka, Portugal, None, 22, CM, Braga, LOSC Lille, Summer, 2017, 5.00 Mill. €
Naïm Sliti, Tunisia, France, 24, LW, Red Star FC, LOSC Lille, Summer, 2017, 2.00 Mill. €
Fodé Ballo-Touré, France, None, 20, LB, Paris SG B, LOSC Lille, Summer, 2017, Free transfer
Nicolas de Préville, France, None, 26, CF, KV Oostende, LOSC Lille, Summer, 2017, ?
Hervé Kouakou Koffi, Burkina Faso, None, 20, GK, ASEC Mimosas, LOSC Lille, Summer, 2017, ?
Adam Jakubech, Slovakia, None, 20, GK, Spartak Trnava, LOSC Lille, Summer, 2017, ?
Nicolas de Préville, France, None, 26, CF, LOSC Lille, G. Bordeaux, Summer, 2017, 8.00 Mill. €
Soualiho Meïté, France, Cote d'Ivoire, 23, DM, LOSC Lille, Zulte Waregem, Summer, 2017, 5.10 Mill. €
Sébastien Corchia, France, Italy, 26, RB, LOSC Lille, Sevilla FC, Summer, 2017, 5.00 Mill. €
Baptiste Guillaume, Belgium, None, 22, CF, LOSC Lille, SCO Angers, Summer, 2017, 2.00 Mill. €
Rio Mavuba, France, Congo DR, 33, DM, LOSC Lille, Sparta Praha, Summer, 2017, Free transfer
Eric Bauthéac, France, None, 30, LW, LOSC Lille, Brisbane Roar, Summer, 2017, Free transfer
Lenny Nangis, France, Guadeloupe, 23, LW, LOSC Lille, Valenciennes FC, Summer, 2017, Free transfer
Marvin Martin, France, None, 29, AM, LOSC Lille, Reims, Summer, 2017, Free transfer
Marko Basa, Montenegro, None, 34, CB, LOSC Lille, None, Summer, 2017, -
Julian Palmieri, France, None, 30, LB, LOSC Lille, None, Summer, 2017, -
Franck Béria, France, Madagascar, 34, RB, LOSC Lille, None, Summer, 2017, -
Junior Tallo, Cote d'Ivoire, None, 24, CF, LOSC Lille, None, Summer, 2017, -
Bertrand Traoré, Burkina Faso, None, 21, RW, Chelsea, Olympique Lyon, Summer, 2017, 10.00 Mill. €
Pape Cheikh, Spain, Senegal, 20, CM, Celta de Vigo, Olympique Lyon, Summer, 2017, 10.00 Mill. €
Mariano Díaz, Dominican Republic, None, 23, CF, Real Madrid, Olympique Lyon, Summer, 2017, 8.00 Mill. €
Marcelo, Brazil, None, 30, CB, Besiktas, Olympique Lyon, Summer, 2017, 7.00 Mill. €
Ferland Mendy, France, Senegal, 22, LB, AC Le Havre, Olympique Lyon, Summer, 2017, 5.00 Mill. €
Marçal, Brazil, None, 28, LB, Benfica, Olympique Lyon, Summer, 2017, 4.50 Mill. €
Kenny Tete, Netherlands, Mozambique, 21, RB, AFC Ajax, Olympique Lyon, Summer, 2017, 4.00 Mill. €
Alexandre Lacazette, France, Guadeloupe, 26, CF, Olympique Lyon, Arsenal, Summer, 2017, 53.00 Mill. €
Corentin Tolisso, France, Togo, 22, CM, Olympique Lyon, Bayern Munich , Summer, 2017, 41.50 Mill. €
Emanuel Mammana, Argentina, None, 21, CB, Olympique Lyon, Zenit S-Pb, Summer, 2017, 16.00 Mill. €
